Question 1,Response 1,Question 2,Response 2,Question 3,Response 3,Question 4,Response 4,Question 5,Response 5,Question 6,Response 6
"出身国を選んでください。
: Bangladesh
; Brazil
; Cambodia
; China
; Indonesia
; Japan
; Korea
; Myanmar
; Nepal
; Thailand
; Vietnam
; Others",Japan,"休まず出席できますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思う,"福祉について、関心のあるものをいくつでも選びなさい。
: 日本の福祉に関心がる。; 世界の福祉に関心がある。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。; 三重県や四日市の福祉に関心がある。; 日本の高齢化（こうれいか）に関心がある。; 日本の人口減少に関心がある。
; 新型コロナウィルス（COVID-19: ）に関心がある。","日本の福祉に関心がる。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。; 三重県や四日市の福祉に関心がある。; 日本の高齢化（こうれいか）に関心がある。; 日本の人口減少に関心がある。
; 新型コロナウィルス（COVID-19: ）に関心がある。","遠隔授業（えんかくじゅぎょう）になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",コンピュータ（Windows）,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; 3^3の答えがわかる。
"出身国を選んでください。
: Bangladesh
; Brazil
; Cambodia
; China
; Indonesia
; Japan
; Korea
; Myanmar
; Nepal
; Thailand
; Vietnam
; Others",Japan,"休まず出席できますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思う,"福祉について、関心のあるものをいくつでも選びなさい。
: 日本の福祉に関心がる。; 世界の福祉に関心がある。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。; 三重県や四日市の福祉に関心がある。; 日本の高齢化（こうれいか）に関心がある。; 日本の人口減少に関心がある。
; 新型コロナウィルス（COVID-19: ）に関心がある。","日本の福祉に関心がる。; 世界の福祉に関心がある。; 日本の人口減少に関心がある。
; 新型コロナウィルス（COVID-19: ）に関心がある。","遠隔授業（えんかくじゅぎょう）になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",コンピュータ（Windows）,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。
"出身国を選んでください。
: Bangladesh
; Brazil
; Cambodia
; China
; Indonesia
; Japan
; Korea
; Myanmar
; Nepal
; Thailand
; Vietnam
; Others",Vietnam,"休まず出席できますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思う,"福祉について、関心のあるものをいくつでも選びなさい。
: 日本の福祉に関心がる。; 世界の福祉に関心がある。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。; 三重県や四日市の福祉に関心がある。; 日本の高齢化（こうれいか）に関心がある。; 日本の人口減少に関心がある。
; 新型コロナウィルス（COVID-19: ）に関心がある。",日本の福祉に関心がる。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。,"遠隔授業（えんかくじゅぎょう）になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",スマートフォン（iPhone）,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。
"出身国を選んでください。
: Bangladesh
; Brazil
; Cambodia
; China
; Indonesia
; Japan
; Korea
; Myanmar
; Nepal
; Thailand
; Vietnam
; Others",Japan,"休まず出席できますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思う,"福祉について、関心のあるものをいくつでも選びなさい。
: 日本の福祉に関心がる。; 世界の福祉に関心がある。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。; 三重県や四日市の福祉に関心がある。; 日本の高齢化（こうれいか）に関心がある。; 日本の人口減少に関心がある。
; 新型コロナウィルス（COVID-19: ）に関心がある。",日本の福祉に関心がる。; 世界の福祉に関心がある。,"遠隔授業（えんかくじゅぎょう）になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",スマートフォン（iPhone）,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",通常の貼り付けと値の貼り付けの区別がわかる。
"出身国を選んでください。
: Bangladesh
; Brazil
; Cambodia
; China
; Indonesia
; Japan
; Korea
; Myanmar
; Nepal
; Thailand
; Vietnam
; Others",Japan,"休まず出席できますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思う,"福祉について、関心のあるものをいくつでも選びなさい。
: 日本の福祉に関心がる。; 世界の福祉に関心がある。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。; 三重県や四日市の福祉に関心がある。; 日本の高齢化（こうれいか）に関心がある。; 日本の人口減少に関心がある。
; 新型コロナウィルス（COVID-19: ）に関心がある。",日本の福祉に関心がる。; 三重県や四日市の福祉に関心がある。; 日本の人口減少に関心がある。,"遠隔授業（えんかくじゅぎょう）になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",コンピュータ（Windows）,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",-
"出身国を選んでください。
: Bangladesh
; Brazil
; Cambodia
; China
; Indonesia
; Japan
; Korea
; Myanmar
; Nepal
; Thailand
; Vietnam
; Others",Japan,"休まず出席できますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思う,"福祉について、関心のあるものをいくつでも選びなさい。
: 日本の福祉に関心がる。; 世界の福祉に関心がある。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。; 三重県や四日市の福祉に関心がある。; 日本の高齢化（こうれいか）に関心がある。; 日本の人口減少に関心がある。
; 新型コロナウィルス（COVID-19: ）に関心がある。",日本の福祉に関心がる。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。; 三重県や四日市の福祉に関心がある。; 新型コロナウィルス（COVID-19: ）に関心がある。,"遠隔授業（えんかくじゅぎょう）になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",コンピュータ（Windows）,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; 3^3の答えがわかる。
"出身国を選んでください。
: Bangladesh
; Brazil
; Cambodia
; China
; Indonesia
; Japan
; Korea
; Myanmar
; Nepal
; Thailand
; Vietnam
; Others",Japan,"休まず出席できますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思う,"福祉について、関心のあるものをいくつでも選びなさい。
: 日本の福祉に関心がる。; 世界の福祉に関心がある。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。; 三重県や四日市の福祉に関心がある。; 日本の高齢化（こうれいか）に関心がある。; 日本の人口減少に関心がある。
; 新型コロナウィルス（COVID-19: ）に関心がある。",日本の福祉に関心がる。; 世界の福祉に関心がある。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。,"遠隔授業（えんかくじゅぎょう）になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",スマートフォン（iPhone）,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。
"出身国を選んでください。
: Bangladesh
; Brazil
; Cambodia
; China
; Indonesia
; Japan
; Korea
; Myanmar
; Nepal
; Thailand
; Vietnam
; Others",Japan,"休まず出席できますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思う,"福祉について、関心のあるものをいくつでも選びなさい。
: 日本の福祉に関心がる。; 世界の福祉に関心がある。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。; 三重県や四日市の福祉に関心がある。; 日本の高齢化（こうれいか）に関心がある。; 日本の人口減少に関心がある。
; 新型コロナウィルス（COVID-19: ）に関心がある。","日本の福祉に関心がる。; 世界の福祉に関心がある。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。; 日本の人口減少に関心がある。
; 新型コロナウィルス（COVID-19: ）に関心がある。","遠隔授業（えんかくじゅぎょう）になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",コンピュータ（Mac）,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",-
"出身国を選んでください。
: Bangladesh
; Brazil
; Cambodia
; China
; Indonesia
; Japan
; Korea
; Myanmar
; Nepal
; Thailand
; Vietnam
; Others",Japan,"休まず出席できますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思う,"福祉について、関心のあるものをいくつでも選びなさい。
: 日本の福祉に関心がる。; 世界の福祉に関心がある。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。; 三重県や四日市の福祉に関心がある。; 日本の高齢化（こうれいか）に関心がある。; 日本の人口減少に関心がある。
; 新型コロナウィルス（COVID-19: ）に関心がある。",日本の福祉に関心がる。; 日本の人口減少に関心がある。,"遠隔授業（えんかくじゅぎょう）になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",スマートフォン（iPhone）,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。
"出身国を選んでください。
: Bangladesh
; Brazil
; Cambodia
; China
; Indonesia
; Japan
; Korea
; Myanmar
; Nepal
; Thailand
; Vietnam
; Others",Japan,"休まず出席できますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思う,"福祉について、関心のあるものをいくつでも選びなさい。
: 日本の福祉に関心がる。; 世界の福祉に関心がある。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。; 三重県や四日市の福祉に関心がある。; 日本の高齢化（こうれいか）に関心がある。; 日本の人口減少に関心がある。
; 新型コロナウィルス（COVID-19: ）に関心がある。",世界の福祉に関心がある。; 三重県や四日市の福祉に関心がある。; 日本の高齢化（こうれいか）に関心がある。,"遠隔授業（えんかくじゅぎょう）になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",スマートフォン（iPhone）,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。
"出身国を選んでください。
: Bangladesh
; Brazil
; Cambodia
; China
; Indonesia
; Japan
; Korea
; Myanmar
; Nepal
; Thailand
; Vietnam
; Others",Japan,"休まず出席できますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思う,"福祉について、関心のあるものをいくつでも選びなさい。
: 日本の福祉に関心がる。; 世界の福祉に関心がある。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。; 三重県や四日市の福祉に関心がある。; 日本の高齢化（こうれいか）に関心がある。; 日本の人口減少に関心がある。
; 新型コロナウィルス（COVID-19: ）に関心がある。",日本の福祉に関心がる。,"遠隔授業（えんかくじゅぎょう）になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",コンピュータ（Windows）,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",sum関数を使える。
"出身国を選んでください。
: Bangladesh
; Brazil
; Cambodia
; China
; Indonesia
; Japan
; Korea
; Myanmar
; Nepal
; Thailand
; Vietnam
; Others",Japan,"休まず出席できますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思う,"福祉について、関心のあるものをいくつでも選びなさい。
: 日本の福祉に関心がる。; 世界の福祉に関心がある。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。; 三重県や四日市の福祉に関心がある。; 日本の高齢化（こうれいか）に関心がある。; 日本の人口減少に関心がある。
; 新型コロナウィルス（COVID-19: ）に関心がある。","日本の福祉に関心がる。; 世界の福祉に関心がある。; 日本の福祉予算（ふくしよさん）や年金（ねんきん）について関心がある。; 日本の高齢化（こうれいか）に関心がある。; 日本の人口減少に関心がある。
; 新型コロナウィルス（COVID-19: ）に関心がある。","遠隔授業（えんかくじゅぎょう）になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",コンピュータ（Windows）,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",使ったことがない。
