Question 1,Response 1,Question 2,Response 2,Question 3,Response 3,Question 4,Response 4,Question 5,Response 5,Question 6,Response 6,Question 7,Response 7
"もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",-,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,-,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,-,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",-,"世界のニュースに関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",-,"ポップス(米国(べいこく)の流行歌)に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",-,"米国(べいこく)の映画に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",-
"もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",タブレット（iPad）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思わない,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",使ったことがない。,"世界のニュースに関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらともいえない,"ポップス(米国(べいこく)の流行歌)に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思わない,"米国(べいこく)の映画に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらかというとそう思う
"もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",コンピュータ（Windows）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。,"世界のニュースに関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらかというとそう思う,"ポップス(米国(べいこく)の流行歌)に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思う,"米国(べいこく)の映画に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらともいえない
"もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",コンピュータ（Windows）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",使ったことがない。,"世界のニュースに関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらともいえない,"ポップス(米国(べいこく)の流行歌)に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思わない,"米国(べいこく)の映画に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらともいえない
"もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",コンピュータ（Windows）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。,"世界のニュースに関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらかというとそう思う,"ポップス(米国(べいこく)の流行歌)に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらかというとそう思う,"米国(べいこく)の映画に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらともいえない
"もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",コンピュータ（Mac）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思わない,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。,"世界のニュースに関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思う,"ポップス(米国(べいこく)の流行歌)に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思わない,"米国(べいこく)の映画に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思う
"もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",スマートフォン（iPhone）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思わない,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",使ったことがない。,"世界のニュースに関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらともいえない,"ポップス(米国(べいこく)の流行歌)に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思わない,"米国(べいこく)の映画に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらかというとそう思う
"もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",スマートフォン（iPhone）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思わない,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。,"世界のニュースに関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらともいえない,"ポップス(米国(べいこく)の流行歌)に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらかというとそう思わない,"米国(べいこく)の映画に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらかというとそう思わない
"もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",スマートフォン（iPhone）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",sum関数を使える。,"世界のニュースに関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらともいえない,"ポップス(米国(べいこく)の流行歌)に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらかというとそう思う,"米国(べいこく)の映画に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",そう思う
"もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",コンピュータ（Mac）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",使ったことがない。,"世界のニュースに関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらともいえない,"ポップス(米国(べいこく)の流行歌)に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらかというとそう思う,"米国(べいこく)の映画に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",どちらかというとそう思う
"もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。
: コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）
; タブレット（Android）
; その他",-,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,-,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,-,"Excelについて当てはまるものをいくつでも選びなさい。
: 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。",-,"世界のニュースに関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",-,"ポップス(米国(べいこく)の流行歌)に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",-,"米国(べいこく)の映画に関心がありますか？
: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない",-
